SECURE_DELETE,ENABLE_ATOMIC_WRITE,ENABLE_STAT2,DISABLE_LFS,DISABLE_DIRSYNC,OMIT_AUTOMATIC_INDEX,OMIT_BETWEEN_OPTIMIZATION,OMIT_BTREECOUNT,OMIT_LIKE_OPTIMIZATION,OMIT_LOOKASIDE,OMIT_OR_OPTIMIZATION,OMIT_QUICKBALANCE,OMIT_SHARED_CACHE,OMIT_XFER_OPT,<$fillrand100K
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.121553037
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.034004399
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.086110641
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.038487566
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.077821012
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.051260362
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.075537134
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.064117747
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.047623076
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.04263238
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.024276772
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.054897648
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.120453392
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.058788699
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.025376417
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.122398917
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.089747928
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.027575706
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.04263238
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.113940112
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.098714262
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.059211639
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.118846219
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.125613263
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.059127051
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.078836068
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.061495517
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.152427677
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.032058873
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.059888344
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.112248351
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.038149213
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.070631027
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.101336491
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.036288276
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.020216545
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.089578751
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.070715615
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.07266114
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.052444595
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.025038065
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.064202335
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.034258163
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.035611572
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.165031298
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.010996447
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.0779056
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.06352563
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.065132803
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.079851125
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.017509728
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.227964811
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.012688208
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.112755879
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.060311284
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.072830316
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.088479107
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.101759432
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.117746574
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.098714262
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.24412113
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.11706987
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.041617324
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.050583658
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.075537134
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.11097953
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.046185079
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.129081374
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.034173575
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.077228895
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.159533074
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.102774488
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0056674
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.120368804
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.046438843
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.075621722
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.092454745
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.116900694
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.070969379
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.06572492
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.149890036
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.083742176
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.05134495
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.120199628
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.111909998
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.023092539
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.11097953
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.067416681
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.048976485
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.080697006
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.064371511
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.013703265
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.040179327
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.015817967
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.031889697
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.027914059
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.099729318
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.059972932
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.098545085
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.057519878
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.089324987
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.029521232
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.041955676
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.046438843
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.09964473
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.103874133
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.087210286
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.080274065
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.092623922
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.146506513
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.093300626
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.049568601
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.082727119
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.091270513
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.070292675
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.02740653
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.048384368
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.105058366
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.067585857
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.112163762
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.131026899
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.031043817
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.040771443
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.040771443
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.05439012
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.064202335
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.140669937
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.060565048
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.073253257
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.059972932
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.022669599
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.043309085
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.081458298
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.028590763
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.068177973
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.070969379
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.078413128
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.11706987
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.210708848
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.026222297
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.065132803
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.091862629
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.085010996
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.045423786
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.068939266
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.062256809
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.096768736
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.059803756
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.027152766
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.056081881
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.032566402
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.13534089
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.054643884
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.120707156
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.056843174
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.063863982
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.054220944
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.046185079
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.076213839
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.101251903
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.045170022
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.08095077
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.105988834
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.117323634
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.062172221
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.034173575
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.085687701
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.049906953
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.100152259
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.121214684
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.024445948
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.036626628
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.120199628
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.044577906
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.054728472
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.040263915
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.154119438
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.046354255
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.089494163
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.060649636
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.182625613
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.06048046
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.109287769
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.121383861
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.12925055
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.169091524
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.082135003
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.033666046
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.039756386
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.048638132
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.068600914
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.060987988
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.036626628
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.08966334
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.083065471
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.082557943
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.063779394
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.021992895
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.135933006
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.122821858
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.065471155
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.097191677
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.062341397
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.108526476
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.056843174
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.113263407
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.094823211
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.067501269
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.083742176
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.153442734
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.091693453
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.052106243
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.058957875
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.108695652
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.049230249
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.116477753
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.110725766
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.079428185
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.0417865
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.02698359
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.038572154
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.042886144
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.199627813
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.081542886
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.060734224
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.017678904
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.050329893
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.066909152
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.035104043
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.083488411
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.075960074
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.094315683
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.13229572
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.10006767
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.048976485
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.156572492
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.101336491
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.028590763
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.121045508
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.041363559
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.00913551
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.034258163
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.061072577
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.043901201
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.122991034
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.132634072
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.05049907
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.112840467
1,1,0,1,1,1,0,0,1,1,0,1,0,0,0.076298427
0,1,1,1,0,0,1,1,1,1,1,0,0,0,0.091185925
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.091355101
1,0,1,0,0,1,1,0,0,1,1,1,1,0,0.06699374
0,1,1,0,0,0,0,1,1,1,0,0,1,0,0.054982237
1,0,0,1,0,1,1,0,0,1,1,1,1,1,0.073929961
1,0,1,0,1,0,0,0,1,1,1,0,1,0,0.152681441
1,0,1,1,1,1,1,0,0,1,1,1,1,0,0.1140247
0,1,1,0,1,1,1,1,0,1,0,1,0,0,0.109034004
0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.04872272
0,1,1,1,0,0,0,0,0,0,0,1,0,1,0.078497716
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0.184909491
0,1,1,0,0,1,1,0,0,1,0,1,0,0,0.093892742
0,1,0,1,0,0,0,1,0,0,1,1,0,0,0.107003891
0,0,1,1,0,1,0,1,0,1,0,1,1,1,0.034511927
1,1,0,0,0,0,1,1,0,1,1,1,1,0,0.119522923
0,1,1,1,1,0,1,1,1,1,0,0,0,0,0.066739976
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.042886144
